Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/05/2024,"CAPITAL ONE      CRCARDPMT  3WQ2TCJXTBJAFZE WEB ID: 9541719318",-140.01,ACH_DEBIT, ,,
DEBIT,01/04/2024,"STATE FARM RO 08 CPC-CLIENT 13 S 1284956913 WEB ID: 9000313004",-130.02,ACH_DEBIT, ,,
DEBIT,01/03/2024,"AKTRP529         TRAN000518 000005180015325 WEB ID: 1920174930",-1200.00,MISC_DEBIT, ,,
DEBIT,01/02/2024,"Zelle payment to Harshal JPM99a791yxl",-10.90,CHASE_TO_PARTNERFI, ,,
DEBIT,01/02/2024,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,12/14/2023,"ScoreRewards     SYF PAYMNT 524364102765422 WEB ID: 9069872103",-142.75,ACH_DEBIT, ,,
DEBIT,12/14/2023,"LOWES            PAYMENT    798192739008376 WEB ID: 9130142001",-160.79,ACH_DEBIT, ,,
DEBIT,12/05/2023,"CAPITAL ONE      CRCARDPMT  3STIYDXWGPEFASQ WEB ID: 9541719318",-207.98,ACH_DEBIT, ,,
DEBIT,12/04/2023,"AKTRP529         TRAN000518 000005180015325 WEB ID: 1920174930",-1200.00,MISC_DEBIT, ,,
DEBIT,12/04/2023,"HOME DEPOT       AUTO PYMT  721212088590828 WEB ID: CITIAUTFDR",-19.74,ACH_DEBIT, ,,
DEBIT,11/30/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,11/27/2023,"NOOK PITTSBURGH PA                           11/26",-55.00,DEBIT_CARD, ,,
DEBIT,11/20/2023,"MOON TWP MUNICIP DIRECT DB                  PPD ID: 9642300001",-299.25,ACH_DEBIT, ,,
DEBIT,11/14/2023,"LOWES            PAYMENT    798192739008376 WEB ID: 9130142001",-3.70,ACH_DEBIT, ,,
DEBIT,11/06/2023,"STATE FARM RO 08 CPC-CLIENT 13 S 1284956913 WEB ID: 9000313004",-130.00,ACH_DEBIT, ,,
DEBIT,11/06/2023,"CAPITAL ONE      CRCARDPMT  3SN6XRZHTPV5BVU WEB ID: 9541719318",-37.42,ACH_DEBIT, ,,
DEBIT,10/31/2023,"Zelle payment to Sanjay Cognizant JPM99a4btet0",-31.00,CHASE_TO_PARTNERFI, ,,
DEBIT,10/30/2023,"Zelle payment to Muktadhara 18845096545",-105.00,QUICKPAY_DEBIT, ,,
DEBIT,10/30/2023,"Zelle payment to Praneeth JPM99a47yc0f",-10.00,CHASE_TO_PARTNERFI, ,,
DEBIT,10/30/2023,"Zelle payment to Sanjay Cognizant JPM99a49bk8a",-1.00,CHASE_TO_PARTNERFI, ,,
DEBIT,10/30/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,10/27/2023,"TARGET CARD SRVC BILL PAY   000000007028807 WEB ID: T510215170",-12.10,ACH_DEBIT, ,,
DEBIT,10/16/2023,"ScoreRewards     SYF PAYMNT 2548050346      WEB ID: 9069872103",-191.65,ACH_DEBIT, ,,
DEBIT,10/02/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,09/18/2023,"Zelle payment to Vedanta Pitt New JPM99a29ign9",-20.00,CHASE_TO_PARTNERFI, ,,
DEBIT,09/06/2023,"STATE FARM RO 08 CPC-CLIENT 13 S 1284956913 WEB ID: 9000313004",-130.00,ACH_DEBIT, ,,
DEBIT,08/30/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,08/21/2023,"MOON TWP MUNICIP DIRECT DB                  PPD ID: 9642300001",-270.25,ACH_DEBIT, ,,
DEBIT,08/15/2023,"Dicks Spt Gd MC  DSG EPAY   2494046477      WEB ID: 9069872103",-179.22,ACH_DEBIT, ,,
DEBIT,08/14/2023,"LOWES            PAYMENT    798192739008376 WEB ID: 9130142001",-469.45,ACH_DEBIT, ,,
DEBIT,08/07/2023,"CAPITAL ONE      CRCARDPMT  3S3S1ELXHDJDILM WEB ID: 9541719318",-242.44,ACH_DEBIT, ,,
DEBIT,07/31/2023,"HUNTINGTON BANKS IL PAYMENT 20060879691     WEB ID: 9000044231",-358.07,ACH_DEBIT, ,,
DEBIT,07/18/2023,"Dicks Spt Gd MC  DSG EPAY   2468974859      WEB ID: 9069872103",-73.91,ACH_DEBIT, ,,
DEBIT,07/17/2023,"Online Realtime Transfer to PNC Bank, National Association  2736 transaction#: 17900646700 reference#: 9900646700RX 07/17",-1000.00,ACCT_XFER, ,,
DEBIT,07/05/2023,"STATE FARM RO 08 CPC-CLIENT 13 S 1284956913 WEB ID: 9000313004",-130.00,ACH_DEBIT, ,,
DEBIT,07/05/2023,"SCOREREWARDS     PAYMENT    524364102765422 WEB ID: 9130142001",-10.00,ACH_DEBIT, ,,
